Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ROYAL JUSTICE (IRE)",2021,FILLY,"INNS OF COURT (IRE)","VICTORIA LODGE (IRE)","Scott Dixon",41,,,,,,,,,,,
"ROYAL MAGGS (GB)",2020,FILLY,"TELESCOPE (IRE)","ROYAL PRESENT (IRE)","Mark Walford",,,,,,,,,,92,,
"ROYAL MER (FR)",2018,GELDING,"MONTMARTRE (FR)","PRINCESSE PAULINE (FR)","David Pipe",,,,,,,121,,,,,
"ROYAL MUSKETEER (GB)",2018,GELDING,"ACCLAMATION (GB)","QUEEN'S PEARL (IRE)","Steph Hollinshead",58,,,,,,,,,,,
"ROYAL PLAYWRIGHT (GB)",2022,COLT,"LOPE DE VEGA (IRE)","ARABIAN QUEEN (IRE)","Andrew Balding",106,,,,,,,,,,,
"ROYAL PLEASURE (IRE)",2018,GELDING,"KINGMAN (GB)","MERRY JAUNT (USA)","Karen Jewell",68,,,,,,,,,,,
"ROYAL POETRY (IRE)",2023,FILLY,"LOPE DE VEGA (IRE)","ZABEEL QUEEN (IRE)","Richard Hannon",78,,,,,,,,,,,
"ROYAL POWER (FR)",2021,GELDING,"FRANKEL (GB)","SOLILOQUY (GB)","Charlie Appleby",111,,,,,,,,,,,
"ROYAL RAMBLER (IRE)",2020,GELDING,"WALK IN THE PARK (IRE)","ROYALE FLAG (FR)","Emma Lavelle",,,,,,,,,,130,,
"ROYAL RHYME (IRE)",2020,COLT,"LOPE DE VEGA (IRE)","DUBAI QUEEN (USA)","K. R. Burke",115,,,,,,,,,,,
"ROYAL RHYTHM (IRE)",2016,GELDING,"JET AWAY (GB)","MUSICAL QUEEN (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,93,,
"ROYAL STANDARD (IRE)",2023,COLT,"SEA THE STARS (IRE)","MAIN EDITION (IRE)","Andrew Balding",80,,,,,,,,,,,
"ROYAL VELVET (GB)",2021,FILLY,"LIGHTNING SPEAR (GB)","VELVET MORN (IRE)","William Knight",99,,,,,,,,,,,
"ROYAL WAY (FR)",2020,GELDING,"GALIWAY (GB)","BELLE ET ROYALE (FR)","Gary & Josh Moore",,,,,,,,,,117,,
"ROYAL ZABEEL (IRE)",2021,GELDING,"MASTERCRAFTSMAN (IRE)","LADY'S MAID (USA)","Michael Appleby",102,,,109,,,,,,,,
"ROYALE GOODNIGHT (GER)",2022,FILLY,"GOLDEN HORN (GB)","REDENCA (GER)","Harry Charlton",75,,,,,,,,,,,
"ROYALE PAGAILLE (FR)",2014,GELDING,"BLUE BRESIL (FR)","ROYALE CAZOUMAILLE (FR)",,,,,,,,156,,,,,
"ROYALIST (IRE)",2023,COLT,"COTAI GLORY (GB)","FICTITIOUS (GB)",,65,,,,,,,,,,,
"ROYALTY BAY (IRE)",2022,FILLY,"KODIAC (GB)","DUBAI RAINBOW (IRE)","Seb Spencer",81,-2,,,,,,,,,,
"ROYSSE (GB)",2019,GELDING,"KAYF TARA (GB)","RATTLIN (GB)","Ben Pauling",,,,,,,110,,,110,,
"RUA MOR (IRE)",2022,GELDING,"SHAMAN (IRE)","CLASSIC FALCON (IRE)","Sam England",,,,,,,,,,103,,
"RUBAUD (FR)",2018,GELDING,"AIR CHIEF MARSHAL (IRE)","FULGENCE (FR)","Paul Nicholls",,,,,,,145,,,145,,
"RUBBER BALL (GB)",2020,GELDING,"YORGUNNABELUCKY (USA)","PSYCHOCANDY (IRE)","Neil King",,,,,,,125,-2,,125,-2,
"RUBELLITE (IRE)",2020,FILLY,"IFFRAAJ (GB)","POSH CLARET (GB)","Stephen Hanlon",58,,,,,,,,,,,
"RUBY ISLAND (GB)",2017,FILLY,"TRANS ISLAND (GB)","MIDNIGHT MAYHEM (IRE)","Nicky Richards",,,,,,,130,,,,,
"RUBY RED GOVE (GB)",2022,FILLY,"SHOWCASING (GB)","MILITARY MADAME (IRE)","Ivan Furtado",72,,,,,,,,,,,
"RUBY WEDDING (GB)",2023,FILLY,"SEA THE MOON (GER)","ROSA GRACE (GB)","Andrew Balding",76,,,,,,,,,,,
"RUBY'S ANGEL (IRE)",2023,FILLY,"STARMAN (GB)","ANGEL MEADOW (GB)","Hugo Palmer",80,,,,,,,,,,,
"RUBY'S PROFIT (IRE)",2022,FILLY,"PROFITABLE (IRE)","BREEDJ (IRE)","Dr Richard Newland & Jamie Insole",87,,,,,,,,,,,
"RUGBY UNION (USA)",2023,COLT,"UNION RAGS (USA)","MONOPOLE (USA)","Gemma Tutty",60,new,,,,,,,,,,
"RUKAANA (GB)",2021,GELDING,"DARK ANGEL (IRE)","SHUROOQ (GB)","Jonjo & A.J. O'Neill",75,,,,,,,,,100,,
"RULA BULA (IRE)",2019,FILLY,"MOUNT NELSON (GB)","KOPITAR (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,119,,
"RULE ME IN (IRE)",2019,GELDING,"MAHLER (GB)","DON'T RULE ME OUT (IRE)","Christian Williams",,,,,,,90,,,,,
"RULER LEGEND (IRE)",2019,GELDING,"CAMELOT (GB)","AVENUE DARGENT (FR)","Gary Hanmer",67,,,,,,,,,90,,
"RULER OF THE RIVER (IRE)",2020,FILLY,"RULER OF THE WORLD (IRE)","ROCKYRIVER GIRL (IRE)","Tom Fife",44,,,,,,,,,78,,
"RULER OF TIME (USA)",2023,COLT,"NOT THIS TIME (USA)","CAT'S PAJAMAS (USA)","Charlie Appleby",91,,,,,,,,,,,
"RUM DIAMOND (GB)",2023,GELDING,"PLANTEUR (IRE)","DIAMOND BANGLE (IRE)","Max Comley",57,,,,,,,,,,,
"RUM RUNNER (GB)",2015,GELDING,"HAVANA GOLD (IRE)","THERMOPYLAE (GB)",,42,,,,,,,,,,,
"RUM THERAPY (IRE)",2023,FILLY,"DARK ANGEL (IRE)","GYPSY SPIRIT (GB)",,65,,,,,,,,,,,
"RUMBA BAY (GB)",2022,FILLY,"HAVANA GREY (GB)","NELLIE ELLIS (IRE)",,50,,,,,,,,,,,
"RUMBA NUMBA (GB)",2022,FILLY,"TOO DARN HOT (GB)","ASTONISHING (IRE)","Roger Varian",84,,,,,,,,,,,
"RUMBUSTIOUS (GB)",2023,COLT,"DUBAWI (IRE)","WALL OF SOUND (GB)","Charlie Johnston",67,,,,,,,,,,,
"RUMOURSAREFLYING (GB)",2018,GELDING,"BLUE BRESIL (FR)","CIRCUS ROSE (GB)","Pam Sly",,,,,,,118,,,,,
"RUMSTAR (GB)",2020,GELDING,"HAVANA GREY (GB)","STELLARTA (GB)","Jonathan Portman",110,,,,,,,,,,,
"RUN AWAY JOE (IRE)",2020,GELDING,"SOLDIER OF FORTUNE (IRE)","LOUGHADERRA FLAME (IRE)","Fergal O'Brien",,,,,,,,,,95,,
"RUN BABY RUN (IRE)",2021,GELDING,"MAHLER (GB)","DUFFYS GRANGE (IRE)","R. Mike Smith",,,,,,,,,,67,,
"RUN BOY RUN (GB)",2021,GELDING,"RAJASINGHE (IRE)","INSTRUCTRESS (GB)","Richard Spencer",105,,,,,,,,,,,
"RUN OF LUCK (GB)",2021,GELDING,"EL KABEIR (USA)","LUCKY BREEZE (IRE)","Ed de Giles",53,,,,,,,,,,,
"RUN THIS WAY (GB)",2018,FILLY,"CANNOCK CHASE (USA)","PRIME RUN (GB)","Paul Midgley",48,,,,,,,,,,,
"RUN TO FREEDOM (GB)",2018,COLT,"MUHAARAR (GB)","TWILIGHT MISTRESS (GB)","Henry Candy",112,,,,,,,,,,,
"RUNAMARA (IRE)",2023,GELDING,"RIBCHESTER (IRE)","SAMARA MARA (IRE)","John & Rhys Flint",59,,,,,,,,,,,
"RUNMAN (GB)",2023,COLT,"FRANKEL (GB)","BELLA NOUF (GB)","John & Thady Gosden",90,new,,,,,,,,,,
"RUNNING COOL (GB)",2020,GELDING,"BOBBY'S KITTEN (USA)","TOPFLIGHTCOOLRACER (GB)","Adrian Keatley",52,,,,,,,,,,,
"RUNNING HOT (IRE)",2023,FILLY,"COULSTY (IRE)","LAUREL WREATH (GB)",,72,,,,,,,,,,,
"RUNNING LION (GB)",2020,FILLY,"ROARING LION (USA)","BELLA NOUF (GB)",,110,,,,,,,,,,,
"RUNNINMAN (IRE)",2023,GELDING,"MEHMAS (IRE)","MERRY JAUNT (USA)",,47,,,,,,,,,,,
"RUNNINSONOFAGUN (IRE)",2022,GELDING,"INNS OF COURT (IRE)","HIGH SOCIETY LADY (IRE)","Tristan Davidson",64,,,,,,,,,,,
"RUNSWICK (IRE)",2023,COLT,"GHAIYYATH (IRE)","BELIEF (GB)","Ed Dunlop",80,,,,,,,,,,,
"RUPERT RITZIK (IRE)",2023,GELDING,"SOLDIER'S CALL (GB)","BEAUTIFUL FOREST (GB)","Nigel Tinkler",40,-3,,,,,,,,,,
"RUPERT THE PRINCE (IRE)",2022,GELDING,"GOLDEN HORN (GB)","DRAGON BEAT (IRE)","Rebecca Menzies",62,,,,,,,,,,,
"RUSHEEN BOY (GB)",2021,GELDING,"COACH HOUSE (IRE)","DISPLAYING AMBER (GB)","Julia & Shelley Birkett",60,,,,,,,,,,,
"RUSSET GOLD (GB)",2020,GELDING,"AL KAZEEM (GB)","AFFLUENT (GB)","Kevin Ryan",90,,,,,,,,,,,
"RUSSIAN RUMOUR (IRE)",2017,FILLY,"MAKE BELIEVE (GB)","RUSSIAN RAVE (GB)","Jonathan Portman",78,,,,,,,,,,,
"RWENEARLYTHEREDAD (GB)",2020,GELDING,"HAVANA GREY (GB)","KING'S GUEST (IRE)","Declan Carroll",62,,,,,,,,,,,
"RYAN'S ROCKET (IRE)",2018,GELDING,"JET AWAY (GB)","SMITHS LADY (IRE)","Fergal O'Brien",,,,,,,139,,,,,
"RYDALE FROSTY (GB)",2023,GELDING,"HAVANA GREY (GB)","PRIMROSE VALLEY (GB)","David Simcock",92,-1,,,,,,,,,,
"RYDER'S ROCK (GB)",2018,FILLY,"FASCINATING ROCK (IRE)","FEATHERWEIGHT (IRE)","Joe Tizzard",,,,,,,79,,,79,,
"RYE (GB)",2022,FILLY,"MASSAAT (IRE)","GET EVEN (GB)","Tony Carroll",59,,,,,,,,,,,
"RYEBRIDGE (IRE)",2020,GELDING,"DIAMOND BOY (FR)","PRETTY VALIRA (IRE)","Joel Parkinson & Sue Smith",,,,,,,,,,107,,
"RYEFIELD (GB)",2023,GELDING,"ARDAD (IRE)","CHARLIE EM (GB)","Lawrence Mullaney",60,,,,,,,,,,,
"RYKA (IRE)",2022,FILLY,"NIGHT OF THUNDER (IRE)","TULIP FIELDS (GB)","David O'Meara",97,,,,,,,,,,,
"SAACHI (IRE)",2021,GELDING,"ADVERTISE (GB)","BEAUTIFUL GESTURE (GB)","Ian Williams",51,,,,,,,,,88,,
"SAAHIR (IRE)",2022,GELDING,"MAKE BELIEVE (GB)","SIMPLE MAGIC (IRE)","Denis Quinn",55,,,,,,,,,,,
"SAARISELKA (GB)",2022,FILLY,"EARTHLIGHT (IRE)","NOZHAR (IRE)",,82,,,,,,,,,,,
"SABA DESERT (GB)",2023,COLT,"DUBAWI (IRE)","FINESPUN (IRE)","Charlie Appleby",107,,,,,,,,,,,
"SABER STRIKE (IRE)",2023,COLT,"NIGHT OF THUNDER (IRE)","SWISS AIR (GB)","William Haggas",108,new,,,,,,,,,,
"SACCARY (GER)",2019,GELDING,"NATHANIEL (IRE)","SURVEY (GER)","David Pipe",,,,,,,,,,83,+3,
"SACRED FALLS (IRE)",2020,FILLY,"DARK ANGEL (IRE)","PEACE TRAIL (GB)",,68,,,,,,,,,,,
"SACRED FIRE (GB)",2022,GELDING,"CRACKSMAN (GB)","HURRICANE HARRIET (GB)","John & Thady Gosden",95,,,,,,,,,,,
"SACRED GROUND (GB)",2023,FILLY,"KINGMAN (GB)","ANAPURNA (GB)","John & Thady Gosden",93,,,,,,,,,,,
"SADDADD (IRE)",2022,COLT,"PINATUBO (IRE)","TALMADA (USA)","Roger Varian",115,,,,,,,,,,,
"SADDLE UP (IRE)",2023,GELDING,"KESSAAR (IRE)","QUEEN'S ORDER (GB)",,42,-1,,,,,,,,,,
"SADIIKI (GB)",2021,FILLY,"LAND FORCE (IRE)","MAGIC APPROACH (GB)","Fred Watson",42,,,,,,,,,,,
"SAECULAMATION (IRE)",2023,GELDING,"ACCLAMATION (GB)","SAECULA SAECULORUM (IRE)","George Margarson",49,-1,,,,,,,,,,
"SAFARI DREAM (IRE)",2020,GELDING,"BUNGLE INTHEJUNGLE (GB)","GRANDMAS DREAM (GB)","Rod Millman",67,,,,,,,,,,,
"SAFE AND SOUND (GB)",2022,FILLY,"GOLDEN HORN (GB)","CRIMSON RIBBON (USA)","Oliver Cole",64,,,,,,,,,,,
"SAFE DESTINATION (GB)",2018,GELDING,"PETHER'S MOON (IRE)","LEIGHTON LASS (GB)","Nigel & Willy Twiston-Davies",,,,,,,107,,,,,
"SAFE HARBOR (GB)",2023,FILLY,"TERRITORIES (IRE)","HARBOUR OF GRACE (FR)","Marco Botti",66,,,,,,,,,,,
"SAFE ZONE (IRE)",2023,FILLY,"MEHMAS (IRE)","OUTSIDE INSIDE (IRE)","Lawrence Mullaney",70,,,,,,,,,,,
"SAFFREDI (GB)",2021,GELDING,"TWILIGHT SON (GB)","PRODIGIOUS (GB)",,58,,,,,,,,,,,
"SAFFRON DANDY (IRE)",2023,FILLY,"DANDY MAN (IRE)","SAFFIAN (GB)","Richard Hannon",81,,,,,,,,,,,
"SAFIO'S PRINCESS (GB)",2021,FILLY,"OUTSTRIP (GB)","LOVE ISLAND (GB)","Simon Whitaker",33,,,,,,,,,,,
"SAGANO (IRE)",2017,GELDING,"ANODIN (IRE)","TRISTESSE (USA)","Gary & Josh Moore",71,,,,,,,,,,,
"SAGE GREEN (IRE)",2020,GELDING,"SAGEBURG (IRE)","GAYE STEEL (IRE)","Syd Hosie",,,,,,,105,,,105,,
"SAGREMOR (IRE)",2023,GELDING,"ARMOR (GB)","MY LOVE'S PASSION (FR)","David Menuisier",65,-2,,,,,,,,,,
"SAHANA (GB)",2022,FILLY,"TOO DARN HOT (GB)","MONTALCINO (IRE)","David Simcock",69,,,,,,,,,,,
"SAHARA KING (GB)",2023,COLT,"TOO DARN HOT (GB)","KAHALA QUEEN (IRE)","Richard Hannon",94,,,,,,,,,,,
"SAHARA MAGIC (GB)",2023,FILLY,"LOPE Y FERNANDEZ (IRE)","LISIERE (IRE)","Michael Appleby",70,,,,,,,,,,,
"SAIDHA (GB)",2022,FILLY,"CIRCUS MAXIMUS (IRE)","HAIRSPRAY (GB)",,48,,,,,,,,,,,
"SAIL ON SAILOR (GB)",2023,GELDING,"EQTIDAAR (IRE)","MUMTAZA (GB)","Simon Dow",55,,,,,,,,,,,
"SAILED AWAY (GER)",2018,GELDING,"SEA THE MOON (GER)","SAIL (IRE)","Rob Summers",,,,,,,87,,,87,,
"SAILING BY (IRE)",2021,GELDING,"SHIROCCO (GER)","SAILINGTOBYZANTIUM (IRE)",,,,,,,,,,,89,,
"SAILOR BATT (IRE)",2023,GELDING,"COULSTY (IRE)","NORA BATT (IRE)","David & Nicola Barron",62,,,,,,,,,,,
"SAILOR SONG (GB)",2023,GELDING,"ZARAK (FR)","A LA VOILE (GB)",,82,,,,,,,,,,,
"SAILTHISSHIPALONE (GB)",2021,GELDING,"HAVANA GOLD (IRE)","LIBERISQUE (GB)","Ivan Furtado",78,,,,,,,,,,,
"SAIN ET SAUF (GB)",2020,FILLY,"BLUE BRESIL (FR)","PROTEKTRICE (FR)",,,,,,,,,,,83,,
"SAINT CYR DE PAIL (FR)",2019,GELDING,"KAPGARDE (FR)","DAME DE PAIL (FR)","Mrs Jane Williams",,,,,,,104,,,,,
"SAINT DAVY (FR)",2017,GELDING,"BALKO (FR)","SAINTEJOIE (FR)","Jonjo & A.J. O'Neill",,,,,,,130,-1,,,,
"SAINT ETIENNE (GB)",2020,GELDING,"LE HAVRE (IRE)","IDEAL WORLD (IRE)","Brian Ellison",94,,,,,,,,,,,
"SAINT LAWRENCE (IRE)",2018,GELDING,"AL KAZEEM (GB)","AFFLUENT (GB)","Kevin Ryan",84,,,,,,,,,,,
"SAINT OF THE SEA (GB)",2023,COLT,"ST MARK'S BASILICA (FR)","MARLYN (IRE)","Michael Appleby",66,,,,,,,,,,,
"SAINT PALAIS (FR)",2017,GELDING,"SAINT DES SAINTS (FR)","LADIES CHOICE (FR)","Richard Bandey",,,,,,,127,,,117,,
"SAINT POLO (FR)",2020,GELDING,"STORM THE STARS (USA)","UNE ROYAL (FR)","Jennie Candlish",,,,,,,100,new,,100,,
"SAINT SEGAL (FR)",2018,GELDING,"SAINT DES SAINTS (FR)","BAL CELTIQUE (FR)","Mrs Jane Williams",,,,,,,154,,,,,
"SAINT TERRY (IRE)",2021,GELDING,"GALILEO (IRE)","PINK DOGWOOD (IRE)",,42,,,,,,,,,,,
"SAINT VIC (FR)",2019,GELDING,"KAMSIN (GER)","PASSIONNANTE (FR)","Anthony Day",,,,,,,,,,78,+4,
"SAINTE DOCTOR (FR)",2016,FILLY,"DOCTOR DINO (FR)","PAKOONAH (GB)",,,,,,,,122,,,,,
"SAISONS D'OR (IRE)",2015,GELDING,"HAVANA GOLD (IRE)","DEUX SAISONS (GB)","Jedd O'Keeffe",60,+1,,,,,,,,,,
"SALADINS SON (IRE)",2018,GELDING,"TOBOUGG (IRE)","DENNY DE LAP (IRE)","Anthony Honeyball",,,,,,,121,,,,,
"SALAM DUBAWI (GB)",2022,GELDING,"DUBAWI (IRE)","PALMAROLA (IRE)","Jim Goldie",81,,,,,,,,,,,
"SALAMANCA CITY (IRE)",2021,FILLY,"PHOENIX OF SPAIN (IRE)","SHARQAWIYAH (GB)","James Fanshawe",80,,,,,,,,,,,
"SALARIA (IRE)",2022,FILLY,"HIGHLAND REEL (IRE)","SURA (IRE)","Charlie Clover",73,-1,,,,,,,,,,
"SALIGO BAY (IRE)",2018,GELDING,"NEW BAY (GB)","GLORIFICATION (GB)","Sam England",77,,,,,,,,,123,,
"SALIKO (GB)",2022,FILLY,"KAMEKO (USA)","SALIYNA (FR)","Jack Jones",70,,,,,,,,,,,
"SALKADAN (GB)",2023,GELDING,"ULYSSES (IRE)","DONATIA (GB)","Dan Skelton",66,,,,,,,,,,,
"SALLAAL (IRE)",2022,GELDING,"FRANKEL (GB)","NAHRAIN (GB)","Roger Varian",107,+5,,,,,,,,,,
"SALLEY GARDENS (IRE)",2016,GELDING,"YEATS (IRE)","GLENLOGAN (IRE)","Jake Coulson",,,,,,,110,,,,,
"SALLY ANNE'S DREAM (GB)",2021,FILLY,"WUSOOL (USA)","MEY BLOSSOM (GB)","Suzzanne France",42,,,,,,,,,,,
"SALLYVILLE LADY (IRE)",2020,FILLY,"AFFINISEA (IRE)","MTPOCKETS (IRE)","Dan Skelton",,,,,,,,,,111,,
"SALVE ELECTRA (IRE)",2022,FILLY,"EXPERT EYE (GB)","SALVE ETOILES (IRE)",,57,,,,,,,,,,,
"SALVER (FR)",2020,GELDING,"MOTIVATOR (GB)","SALVE EVITA (GB)","Gary & Josh Moore",,,,,,,150,-2,collateral,,,
"SAM BROWN (GB)",2012,GELDING,"BLACK SAM BELLAMY (IRE)","CREAM CRACKER (GB)",,,,,,,,145,,,,,
"SAM'S AMOUR (GB)",2017,FILLY,"BLACK SAM BELLAMY (IRE)","APHRODISIAS (FR)","Keiran Burke",,,,,,,,,,100,,
"SAM'S FALCON (GB)",2019,GELDING,"BLACK SAM BELLAMY (IRE)","FALCON'S GUNNER (GB)","Dianne Sayer",,,,,,,,,,76,,
"SAM'S HOPE (GB)",2020,FILLY,"AWTAAD (IRE)","DELIGHTFUL BELLE (USA)","Martin Dunne",75,-1,,,,,,,,,,
"SAM'S XPRESS (IRE)",2020,GELDING,"FULBRIGHT (GB)","COOL NO MORE (IRE)","Julia & Shelley Birkett",70,,,,,,,,,,,
"SAMRA GREEN (IRE)",2023,FILLY,"SAXON WARRIOR (JPN)","LADY'S MAID (USA)","K. R. Burke",86,,,,,,,,,,,
"SAMRA STAR (IRE)",2021,FILLY,"MAGNA GRECIA (IRE)","BINT SAMRAAN (GB)","Linda Perratt",53,-2,,58,-2,,,,,,,
"SAMUEL COLT (IRE)",2021,GELDING,"NO NAY NEVER (USA)","LESSON IN LIFE (GB)","Amanda Perrett",85,-3,,,,,,,,,,
"SAMUEL SPADE (GER)",2019,GELDING,"MYBOYCHARLIE (IRE)","SUMMARILY (IRE)","Ben Pauling",,,,,,,,,,122,,
"SAN FRANCISCO BAY (IRE)",2019,GELDING,"MUHAARAR (GB)","STOR MO CHROI (IRE)","Henry Candy",58,,,,,,,,,,,
"SAN JUANITO (GB)",2022,GELDING,"LOPE DE VEGA (IRE)","ONE VOICE (IRE)","Mike Murphy",80,,,,,,,,,,,
"SAN MUNOZ (GB)",2022,GELDING,"KINGMAN (GB)","MANUELA DE VEGA (IRE)",,58,,,,,,,,,,,
"SANAAM (IRE)",2023,GELDING,"BLUE POINT (IRE)","HOLLYWOOD LADY (GB)","Simon & Ed Crisford",86,-1,,,,,,,,,,
"SANAFI ZABEEL (FR)",2021,GELDING,"INTELLO (GER)","FULL ROSE (GB)","Jim Goldie",64,,,,,,,,,,,
"SANAT (IRE)",2021,GELDING,"INVINCIBLE SPIRIT (IRE)","SANTE (IRE)",,77,,,,,,,,,,,
"SANBONA (IRE)",2022,GELDING,"COULSTY (IRE)","MILLY'S SECRET (IRE)","Michael Dods",55,-2,,,,,,,,,,
"SAND GAZELLE (GB)",2022,FILLY,"FRANKEL (GB)","DESIROUS (GB)","John & Thady Gosden",105,,,,,,,,,,,
"SAND LILY (GB)",2023,FILLY,"ARDAD (IRE)","SANDS OF TIME (GB)","Charlie Johnston",50,,,,,,,,,,,
"SANDITON (IRE)",2022,GELDING,"FOOTSTEPSINTHESAND (GB)","CANASTA (GB)","Charlie Johnston",53,,,,,,,,,,,
"SANDRET (IRE)",2016,GELDING,"ZEBEDEE (GB)","SAVA SUNSET (IRE)","Sam England",65,,,,,,,,,,,
"SANDS OF DUBAI (GB)",2022,FILLY,"SANDS OF MALI (FR)","JUMEIRAH STREET (USA)",,48,,,,,,,,,,,
"SANDS OF HAVANA (GB)",2022,FILLY,"HAVANA GREY (GB)","BENTAYGA GIRL (GB)",,55,,,,,,,,,,,
"SANDS OF JOSEPI (IRE)",2023,GELDING,"SANDS OF MALI (FR)","FAUNETA (FR)","Brian Ellison",77,,,,,,,,,,,
"SANDS OF SEVE (GB)",2023,GELDING,"SANDS OF MALI (FR)","MIA TIA (GB)","Robert Cowell",54,,,,,,,,,,,
"SANDS OF SPAIN (IRE)",2023,COLT,"SANDS OF MALI (FR)","WIND STORM (GB)",,90,,,,,,,,,,,
"SANDSCAPE (GB)",2020,GELDING,"CITYSCAPE (GB)","HAYLEY BELLE (IRE)","Henry Daly",,,,,,,90,,,90,,
"SANDSCREENDELIVERD (GB)",2022,GELDING,"BATED BREATH (GB)","BLUE AEGEAN (GB)","Peter Crate",74,+2,,,,,,,,,,
"SANDY CRAIC (IRE)",2023,FILLY,"STARMAN (GB)","BEACH WEDDING (IRE)","David O'Meara",71,,,,,,,,,,,
"SANGARA (IRE)",2022,FILLY,"BUNGLE INTHEJUNGLE (GB)","JEREMYS JOY (IRE)","Sheena West",51,,,,,,,,,,,
"SANILAM (IRE)",2020,GELDING,"MALINAS (GER)","TERRE HAUTE (IRE)","Sandy Thomson",,,,,,,,,,127,,
"SANITISER (GB)",2019,GELDING,"THE GURKHA (IRE)","SPICY DAL (GB)","Gary & Josh Moore",59,,,,,,104,,,,,
"SANIYAAT'S STAR (GB)",2023,COLT,"ARDAD (IRE)","SANIYAAT (GB)",,67,,,,,,,,,,,
"SANS BRUIT (FR)",2018,GELDING,"TRIPLE THREAT (FR)","SWEDISH DANCER (IRE)","Paul Nicholls",,,,,,,130,,,,,
"SANS OF GOLD (IRE)",2018,GELDING,"SANS FRONTIERES (IRE)","SHANNON PEARL (IRE)","Jimmy Frost",,,,,,,63,,,,,
"SANSANETTI (IRE)",2022,FILLY,"SOTTSASS (FR)","SANAYA (IRE)","Stuart Williams",61,,,,,,,,,,,
"SANT ALESSIO (IRE)",2021,GELDING,"TOO DARN HOT (GB)","AGATHE SAINTE (GB)","Joe Tickle",70,,,,,,,,,,,
"SANTA SABINA (GB)",2017,FILLY,"GENTLEWAVE (IRE)","DAYS LIKE THESE (GB)","Richard Phillips",,,,,,,,,,74,,
"SANTORINI STAR (IRE)",2021,FILLY,"GOLDEN HORN (GB)","LIVIA'S DREAM (IRE)","William Haggas",109,+2,,,,,,,,,,
"SANTOS BLUE (GB)",2017,GELDING,"BLUE BRESIL (FR)","MAYBE PLENTY (GB)","Olly Murphy",,,,,,,,,,140,,
"SAO CARLOS (GB)",2018,GELDING,"BLUE BRESIL (FR)","VALLEYOFTHEDOLLS (GB)","Lizzie Quinlan",,,,,,,84,,,84,,
"SAPPHIRE PRINCESS (GB)",2022,FILLY,"KINGMAN (GB)","DESERT DIAMOND (GB)",,77,,,,,,,,,,,
"SAPPHIRE SIROCCO (GB)",2021,FILLY,"STUDY OF MAN (IRE)","SAPHIRA'S FIRE (IRE)","Barry Murphy",48,,,,,,,,,,,
"SAPPHIRE STEPS (IRE)",2023,FILLY,"DARK ANGEL (IRE)","HIDDEN STEPS (GB)","Richard Hannon",83,,,,,,,,,,,
"SAQQARA SANDS (GB)",2022,FILLY,"OASIS DREAM (GB)","ROYAL STAR (GB)",,104,,,,,,,,,,,
"SARA LA BELLE (IRE)",2023,FILLY,"COULSTY (IRE)","WHISTLING STRAITS (FR)",,65,,,,,,,,,,,
"SARA MOON (GB)",2023,FILLY,"OASIS DREAM (GB)","LINKS DRIVE LADY (GB)",,71,,,,,,,,,,,
"SARAB STAR (GB)",2022,COLT,"ZOUSTAR (AUS)","MABINIA (IRE)","Jack Channon",98,,,,,,,,,,,
"SARABI (GB)",2022,FILLY,"SIYOUNI (FR)","SIMMIE (IRE)","Michael Keady",48,,,,,,,,,,,
"SARACEN BEAU (IRE)",2019,GELDING,"MOUNT NELSON (GB)","CAROLINE FONTENAIL (IRE)","Nicky Richards",,,,,,,127,,,127,,
"SARAFINA MSHAIRI (GB)",2022,FILLY,"CABLE BAY (IRE)","SARABI MSHAIRI (GB)","Edward Smyth-Osbourne",67,,,,,,,,,,,
"SARATOGA GOLD (GB)",2018,GELDING,"MAYSON (GB)","LADY SYLVIA (GB)","Kevin Frost",66,-1,,,,,,,,,,
"SASHAY AWAY (GB)",2023,FILLY,"ACLAIM (IRE)","WARSASH (IRE)",,56,,,,,,,,,,,
"SASSICAIA (IRE)",2023,COLT,"ST MARK'S BASILICA (FR)","BELLAJEU (GB)","Owen Burrows",81,,,,,,,,,,,
"SASSIFIED (IRE)",2018,GELDING,"EXCELEBRATION (IRE)","SATWA PEARL (GB)",,67,,,,,,,,,86,,
"SASSOON (GB)",2016,GELDING,"POET'S VOICE (GB)","SERADIM (GB)",,43,,,,,,,,,,,
"SASSY GLORY (IRE)",2021,FILLY,"OASIS DREAM (GB)","SASSY GAL (IRE)","Mark Walford",49,-2,,,,,,,,,,
"SATAVIA (GB)",2022,FILLY,"SIYOUNI (FR)","NATAVIA (GB)",,60,,,,,,,,,,,
"SATTAM (GB)",2019,GELDING,"SEA THE STARS (IRE)","TARAYEF (IRE)","Dianne Sayer",,,,,,,,,,93,,
"SATURDAY AGAIN (GB)",2023,FILLY,"ROSEMAN (IRE)","STATE SOVEREIGNTY (GB)","Simon Dow",48,,,,,,,,,,,
"SATURN SEVEN (IRE)",2020,FILLY,"SIOUX NATION (USA)","SATURN GIRL (IRE)","Ross Burdon",60,,,,,,,,,,,
