Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"AFLOAT (GB)",2020,FILLY,"SEA THE MOON (GER)","PLANETE BLEUE (IRE)",,71,,,,,,,,,,,
"AFRICA CHARM (IRE)",2022,FILLY,"SHAMAN (IRE)","CAPE JOZA (GB)",,,,,,,,,,,99,,
"AFRICAN GIB (GB)",2023,GELDING,"TERRITORIES (IRE)","BUXLOW BELLE (FR)","David Menuisier",64,,,,,,,,,,,
"AFTA PARTY (IRE)",2018,GELDING,"MASTERCRAFTSMAN (IRE)","WOOD FAIRY (GB)",,60,,,,,,,,,,,
"AFTER LOVE (IRE)",2022,FILLY,"NO NAY NEVER (USA)","WEEKEND FLING (USA)",,68,,,,,,,,,,,
"AFTER MANY DAYS (GB)",2019,FILLY,"GETAWAY (GER)","LAST OF HER LINE (GB)","Henry Daly",,,,,,,,,,90,,
"AFTER MIDNIGHT (GB)",2017,FILLY,"SULAMANI (IRE)","MIDNIGHT OCEAN (GB)","Julian Smith",,,,,,,,,,72,,
"AFTER THE BALL (IRE)",2021,FILLY,"WALK IN THE PARK (IRE)","CEILIDH ROYAL (GB)","Donald McCain",,,,,,,,,,82,new,
"AFTON DOWN (GB)",2023,GELDING,"TIME TEST (GB)","SPINACRE (IRE)","Jack Jones",76,,,,,,,,,,,
"AGAINST THE WIND (GB)",2022,GELDING,"EARTHLIGHT (IRE)","RASHAAQA (GB)","Kevin Ryan",100,,,,,,,,,,,
"AGE OF BAROQUE (FR)",2021,GELDING,"LOPE DE VEGA (IRE)","GOLDEN LILAS (IRE)","Jessica Macey",65,,,,,,,,,,,
"AGE OF TIME (FR)",2021,GELDING,"DUBAWI (IRE)","MULAN (IRE)","Steph Hollinshead",59,,,,,,,,,,,
"AGENT ARGYLLE (IRE)",2020,GELDING,"MAHLER (GB)","HATTIE HOPKINSON (IRE)","Richard Phillips",,,,,,,,,,89,,
"AGGAGIO (FR)",2018,GELDING,"BORN TO SEA (IRE)","RAVAGE (GB)","Gary & Josh Moore",80,-2,,,,,,,,97,,
"AGRIC RANGER (GB)",2023,GELDING,"ACLAIM (IRE)","SPIRIT RANGER (IRE)","Tim Easterby",55,new,,,,,,,,,,
"AGUELLID (FR)",2021,GELDING,"GOLIATH DU BERLAIS (FR)","GREEN HOPE (FR)","Philip Hobbs & Johnson White",,,,,,,,,,124,+2,
